epoch,train_mse_online,train_mse_eval,valid_mse,valid_mse_ema,epoch_seconds
121,0.084468,0.082169,0.091920,0.094478,890.1
122,0.084229,0.084323,0.081028,0.086678,892.2
123,0.084154,0.084715,0.091718,0.087831,889.5
124,0.083997,0.084217,0.080634,0.079793,890.8
125,0.083470,0.082640,0.081094,0.086303,893.0
126,0.083921,0.081871,0.085663,0.083536,891.8
127,0.083934,0.084922,0.082674,0.080467,892.9
128,0.083885,0.083008,0.083451,0.086466,891.3
129,0.083740,0.083726,0.088025,0.084545,889.4
130,0.083516,0.084251,0.084733,0.087432,891.3
131,0.083597,0.083853,0.079312,0.083420,892.5
132,0.083046,0.083615,0.078114,0.081093,888.6
133,0.082846,0.082110,0.080269,0.074886,892.7
134,0.083137,0.083042,0.083559,0.079637,890.2
135,0.082670,0.080264,0.081663,0.075319,891.0
136,0.082553,0.083523,0.077739,0.086168,890.9
137,0.082076,0.082818,0.081614,0.083909,890.2
138,0.082124,0.081459,0.081870,0.077160,890.5
139,0.081962,0.082725,0.083668,0.079452,890.3
140,0.082035,0.083596,0.083375,0.083238,889.1
141,0.082050,0.082496,0.087849,0.084246,888.8
142,0.081782,0.082579,0.080008,0.084086,891.4
143,0.081020,0.081343,0.084564,0.078620,890.8
144,0.081241,0.081702,0.073568,0.075904,889.1
145,0.081763,0.078559,0.076988,0.084941,891.2
146,0.081507,0.081322,0.081670,0.083098,888.9
147,0.081417,0.079150,0.086563,0.080053,890.8
148,0.081266,0.081391,0.089659,0.077184,889.1
149,0.080449,0.080483,0.078310,0.082471,889.7
150,0.081259,0.083432,0.085210,0.085638,890.5
151,0.080877,0.082186,0.079438,0.077836,889.2
152,0.081289,0.081108,0.084407,0.081186,892.0
153,0.081097,0.081828,0.086708,0.083338,889.3
154,0.080933,0.079765,0.084811,0.076149,890.1
155,0.080724,0.079662,0.079804,0.076013,888.6
156,0.080831,0.081636,0.087546,0.080234,888.3
157,0.080184,0.080168,0.077880,0.086015,890.8
158,0.080465,0.079121,0.081489,0.078283,889.6
159,0.080404,0.080494,0.077441,0.081570,889.9
160,0.080118,0.079150,0.080288,0.081011,890.4
161,0.080489,0.078989,0.085351,0.081354,890.4
162,0.080751,0.080900,0.078506,0.081765,889.1
163,0.079915,0.080266,0.084278,0.077975,885.6
164,0.079964,0.079766,0.079320,0.077629,890.9
165,0.080077,0.080557,0.081120,0.083167,890.9
166,0.079792,0.080349,0.079624,0.082052,889.1
167,0.079781,0.078433,0.076812,0.074706,890.4
168,0.079924,0.081561,0.080198,0.076765,889.5
169,0.080001,0.078455,0.084328,0.080560,888.2
170,0.079810,0.079686,0.079086,0.083264,889.9
171,0.079602,0.080963,0.070600,0.074968,890.5
172,0.079648,0.079293,0.076593,0.080012,887.9
173,0.079415,0.080143,0.084625,0.074341,888.8
174,0.080034,0.082079,0.083806,0.079665,890.6
175,0.079192,0.082225,0.077085,0.081053,888.6
176,0.079328,0.079629,0.082474,0.080060,890.0
177,0.079216,0.077874,0.078704,0.075370,888.7
178,0.079552,0.078668,0.084587,0.078812,889.6
179,0.079283,0.081316,0.080493,0.083189,889.0
180,0.078913,0.081497,0.076878,0.073445,890.2
181,0.079771,0.078821,0.078262,0.079849,889.9
182,0.079381,0.078784,0.081630,0.076063,889.3
183,0.078774,0.078518,0.080333,0.079873,889.6
184,0.078591,0.080701,0.073532,0.074659,888.7
185,0.079262,0.079547,0.076505,0.078618,890.4
186,0.078712,0.079286,0.079830,0.080195,889.2
187,0.078765,0.078723,0.081417,0.079290,889.0
188,0.079195,0.078273,0.081105,0.074237,887.8
189,0.078578,0.078943,0.079011,0.075281,887.1
190,0.078818,0.078562,0.074876,0.082550,888.2
191,0.078645,0.079791,0.084021,0.076481,887.5
192,0.078689,0.081350,0.077656,0.072489,887.9
193,0.079269,0.078966,0.078625,0.080658,889.9
194,0.078648,0.079753,0.085584,0.080227,889.5
195,0.078392,0.078880,0.075924,0.078820,888.4
196,0.078219,0.078494,0.074505,0.079793,888.5
197,0.078467,0.078214,0.081142,0.078542,888.0
198,0.078659,0.077427,0.074134,0.078010,890.2
199,0.078281,0.079285,0.078663,0.076544,889.4
200,0.078177,0.077628,0.080946,0.083741,891.2
201,0.078481,0.078253,0.079283,0.072698,889.4
202,0.078595,0.077859,0.080006,0.081025,890.0
203,0.078420,0.078006,0.075829,0.078301,886.9
204,0.077993,0.079650,0.082674,0.080118,887.4
205,0.077929,0.078819,0.080343,0.079806,888.2
206,0.078580,0.078838,0.078358,0.074474,890.4
207,0.077644,0.078933,0.079580,0.080986,889.0
208,0.078360,0.078165,0.080566,0.078771,888.9
209,0.078091,0.078996,0.081770,0.077099,889.9
210,0.078323,0.078517,0.075109,0.074786,887.8
211,0.078074,0.078616,0.079208,0.079090,890.7
212,0.077799,0.078206,0.071590,0.073931,889.4
213,0.078175,0.076962,0.081611,0.081247,889.1
214,0.077858,0.077517,0.074989,0.074028,888.3
215,0.077868,0.076862,0.075188,0.076966,888.3
216,0.077824,0.079511,0.077823,0.073046,888.9
217,0.078264,0.077432,0.079358,0.077816,889.8
218,0.077819,0.078013,0.078571,0.076310,890.0
219,0.077746,0.078362,0.074096,0.080605,888.0
220,0.078043,0.077813,0.079235,0.077796,888.0
