epoch,train_mse_online,train_mse_eval,valid_mse,valid_mse_ema,epoch_seconds
122,0.087133,0.088679,0.085013,0.085326,713.2
123,0.087797,0.086276,0.084763,0.087996,710.8
124,0.087645,0.088471,0.085046,0.091969,711.3
125,0.087531,0.089613,0.093822,0.092536,713.9
126,0.087491,0.088864,0.087080,0.084748,711.8
127,0.087173,0.087884,0.087557,0.091636,713.9
128,0.088012,0.088929,0.093996,0.082757,713.5
129,0.087398,0.086200,0.084668,0.093447,709.9
130,0.087792,0.088429,0.086497,0.085191,713.2
131,0.088097,0.089278,0.089952,0.088112,713.4
132,0.087628,0.091047,0.090312,0.082359,710.4
133,0.087358,0.087468,0.080360,0.085592,713.7
134,0.087711,0.088175,0.091956,0.084237,711.9
135,0.087003,0.089962,0.090519,0.087551,713.4
136,0.087528,0.088845,0.086277,0.084802,713.5
137,0.087266,0.087511,0.087264,0.087932,712.0
138,0.087239,0.087076,0.086365,0.083077,713.4
139,0.087143,0.087036,0.084766,0.082457,712.5
140,0.086843,0.088842,0.086286,0.084701,712.5
141,0.087749,0.086910,0.083061,0.076841,711.2
142,0.087620,0.087338,0.084897,0.091688,713.0
143,0.087610,0.087900,0.089330,0.087565,711.7
144,0.087330,0.087887,0.081577,0.088945,710.5
145,0.087290,0.087851,0.089337,0.081630,714.2
146,0.087163,0.086895,0.086402,0.090670,711.4
147,0.087117,0.089012,0.086386,0.088687,713.2
148,0.087097,0.089078,0.084731,0.083776,711.9
149,0.086931,0.088565,0.082872,0.085098,713.3
150,0.087362,0.084441,0.091956,0.085106,713.5
151,0.086829,0.087386,0.090198,0.090165,711.3
152,0.087299,0.086326,0.085418,0.085158,714.2
153,0.087290,0.087667,0.083463,0.086099,712.6
154,0.087229,0.087807,0.087874,0.085014,713.1
155,0.086983,0.086722,0.082396,0.083245,712.0
156,0.087096,0.087201,0.089586,0.088734,711.1
157,0.086899,0.087276,0.082882,0.084222,713.1
158,0.086864,0.086317,0.086482,0.088107,712.6
159,0.086812,0.086999,0.088084,0.086568,711.3
160,0.087112,0.085815,0.085725,0.088439,711.9
161,0.087287,0.087441,0.088162,0.089124,711.1
162,0.086415,0.086684,0.082977,0.087299,711.8
163,0.087097,0.087036,0.084588,0.091888,710.4
164,0.086578,0.087842,0.087626,0.085518,713.0
165,0.086828,0.086882,0.088330,0.082229,713.5
166,0.087030,0.086233,0.085416,0.086271,712.2
167,0.087081,0.086036,0.092666,0.082505,712.5
168,0.086554,0.085121,0.086002,0.089942,711.1
169,0.087240,0.088662,0.084596,0.088104,713.2
170,0.086974,0.087888,0.090074,0.088126,714.6
171,0.086280,0.086282,0.089689,0.089930,714.9
172,0.086872,0.087978,0.084233,0.085230,712.0
173,0.086522,0.085875,0.084212,0.089167,712.3
174,0.086597,0.085599,0.081560,0.090817,713.1
175,0.087011,0.087035,0.083741,0.089148,712.2
176,0.086915,0.085121,0.086996,0.087089,712.6
177,0.086714,0.087802,0.087798,0.084584,711.7
178,0.087242,0.088411,0.087997,0.089061,713.4
179,0.086909,0.086721,0.082361,0.084310,712.8
180,0.086080,0.086398,0.083378,0.077606,712.5
181,0.086470,0.087012,0.083864,0.085269,713.1
182,0.086625,0.085302,0.092109,0.085045,711.3
183,0.086435,0.087506,0.081303,0.083040,714.0
184,0.086008,0.085762,0.086096,0.084437,711.0
185,0.086722,0.086628,0.087137,0.089658,713.6
186,0.086662,0.086684,0.086342,0.090302,713.0
187,0.086855,0.086625,0.090885,0.090952,711.9
188,0.086862,0.085017,0.085297,0.094700,710.3
189,0.086909,0.085926,0.083216,0.089783,710.6
190,0.086364,0.086739,0.082637,0.084595,712.0
191,0.086500,0.088742,0.082502,0.092835,711.1
192,0.086362,0.086249,0.085795,0.089399,711.6
193,0.086616,0.086994,0.083966,0.083656,715.0
194,0.086376,0.085207,0.083074,0.081667,714.0
195,0.086318,0.086417,0.084340,0.088682,711.7
196,0.086468,0.086654,0.078253,0.087242,712.2
197,0.086246,0.086384,0.084318,0.081439,711.3
198,0.086752,0.084656,0.084117,0.084299,712.9
199,0.086704,0.085333,0.085771,0.088334,714.2
200,0.086102,0.085416,0.082307,0.090720,713.2
201,0.086291,0.088144,0.092578,0.089637,713.1
202,0.086052,0.086777,0.085740,0.083083,712.9
203,0.086099,0.085889,0.085634,0.086491,710.9
204,0.086765,0.088276,0.080904,0.081574,711.6
