# Mass Density (g/cm^3)  Energy (eV/atom)  Total_Atom  Fe  Ge  O  Si  Ta  Ti  Zr
2.250312  -5.264286  1000  0  0  0  1000  0  0  0
2.250312  -5.264372  1000  0  0  0  1000  0  0  0
2.250312  -5.264374  1000  0  0  0  1000  0  0  0
2.250312  -5.264446  1000  0  0  0  1000  0  0  0
2.250312  -5.264447  1000  0  0  0  1000  0  0  0
2.250312  -5.264510  1000  0  0  0  1000  0  0  0
2.250312  -5.264511  1000  0  0  0  1000  0  0  0
2.250312  -5.264572  1000  0  0  0  1000  0  0  0
2.250312  -5.264576  1000  0  0  0  1000  0  0  0
2.250312  -5.264636  1000  0  0  0  1000  0  0  0
2.250312  -5.264646  1000  0  0  0  1000  0  0  0
2.250312  -5.264695  1000  0  0  0  1000  0  0  0
2.250312  -5.264695  1000  0  0  0  1000  0  0  0
2.250312  -5.264727  1000  0  0  0  1000  0  0  0
2.250312  -5.264729  1000  0  0  0  1000  0  0  0
2.250312  -5.264757  1000  0  0  0  1000  0  0  0
2.250312  -5.264764  1000  0  0  0  1000  0  0  0
2.250312  -5.264788  1000  0  0  0  1000  0  0  0
2.250312  -5.264790  1000  0  0  0  1000  0  0  0
2.250312  -5.264810  1000  0  0  0  1000  0  0  0
2.250312  -5.264811  1000  0  0  0  1000  0  0  0
2.250312  -5.264824  1000  0  0  0  1000  0  0  0
2.250312  -5.264825  1000  0  0  0  1000  0  0  0
2.250312  -5.264836  1000  0  0  0  1000  0  0  0
2.250312  -5.264837  1000  0  0  0  1000  0  0  0
2.250312  -5.264847  1000  0  0  0  1000  0  0  0
2.250312  -5.264850  1000  0  0  0  1000  0  0  0
2.250312  -5.264859  1000  0  0  0  1000  0  0  0
2.250312  -5.264860  1000  0  0  0  1000  0  0  0
2.250312  -5.264868  1000  0  0  0  1000  0  0  0
2.250312  -5.264869  1000  0  0  0  1000  0  0  0
2.250312  -5.264875  1000  0  0  0  1000  0  0  0
2.250312  -5.264876  1000  0  0  0  1000  0  0  0
2.250312  -5.264882  1000  0  0  0  1000  0  0  0
2.250312  -5.264883  1000  0  0  0  1000  0  0  0
2.250312  -5.264888  1000  0  0  0  1000  0  0  0
2.250312  -5.264888  1000  0  0  0  1000  0  0  0
2.250312  -5.264892  1000  0  0  0  1000  0  0  0
2.250312  -5.264892  1000  0  0  0  1000  0  0  0
2.250312  -5.264895  1000  0  0  0  1000  0  0  0
2.250312  -5.264895  1000  0  0  0  1000  0  0  0
2.250312  -5.264897  1000  0  0  0  1000  0  0  0
2.250312  -5.264897  1000  0  0  0  1000  0  0  0
2.250312  -5.264899  1000  0  0  0  1000  0  0  0
2.250312  -5.264899  1000  0  0  0  1000  0  0  0
2.250312  -5.264900  1000  0  0  0  1000  0  0  0
2.250312  -5.264900  1000  0  0  0  1000  0  0  0
2.250312  -5.264900  1000  0  0  0  1000  0  0  0
2.250312  -5.264900  1000  0  0  0  1000  0  0  0
2.250312  -5.264901  1000  0  0  0  1000  0  0  0
3.299933  -7.440456  720  0  111  480  24  0  105  0
3.299933  -7.356901  720  0  111  480  24  0  105  0
3.299933  -7.516385  720  0  111  480  24  0  105  0
3.299933  -7.527293  720  0  111  480  24  0  105  0
3.299933  -7.536688  720  0  111  480  24  0  105  0
3.299933  -7.546964  720  0  111  480  24  0  105  0
3.299933  -7.548215  720  0  111  480  24  0  105  0
3.299933  -7.556737  720  0  111  480  24  0  105  0
3.299933  -7.556862  720  0  111  480  24  0  105  0
3.299933  -7.562391  720  0  111  480  24  0  105  0
3.299933  -7.562478  720  0  111  480  24  0  105  0
3.299933  -7.566339  720  0  111  480  24  0  105  0
3.299933  -7.566343  720  0  111  480  24  0  105  0
3.299933  -7.569226  720  0  111  480  24  0  105  0
3.299933  -7.569231  720  0  111  480  24  0  105  0
3.299933  -7.571555  720  0  111  480  24  0  105  0
3.299933  -7.571566  720  0  111  480  24  0  105  0
3.299933  -7.573520  720  0  111  480  24  0  105  0
3.299933  -7.573534  720  0  111  480  24  0  105  0
3.299933  -7.575141  720  0  111  480  24  0  105  0
3.299933  -7.575151  720  0  111  480  24  0  105  0
3.299933  -7.576470  720  0  111  480  24  0  105  0
3.299933  -7.576476  720  0  111  480  24  0  105  0
3.299933  -7.577510  720  0  111  480  24  0  105  0
3.299933  -7.577514  720  0  111  480  24  0  105  0
3.299933  -7.578446  720  0  111  480  24  0  105  0
3.299933  -7.578452  720  0  111  480  24  0  105  0
3.299933  -7.579227  720  0  111  480  24  0  105  0
3.299933  -7.579227  720  0  111  480  24  0  105  0
3.299933  -7.579857  720  0  111  480  24  0  105  0
3.299933  -7.579858  720  0  111  480  24  0  105  0
3.299933  -7.580388  720  0  111  480  24  0  105  0
3.299933  -7.580388  720  0  111  480  24  0  105  0
3.299933  -7.580902  720  0  111  480  24  0  105  0
3.299933  -7.580911  720  0  111  480  24  0  105  0
3.299933  -7.581370  720  0  111  480  24  0  105  0
3.299933  -7.581372  720  0  111  480  24  0  105  0
3.299933  -7.581779  720  0  111  480  24  0  105  0
3.299933  -7.581785  720  0  111  480  24  0  105  0
3.299933  -7.582154  720  0  111  480  24  0  105  0
3.299933  -7.582160  720  0  111  480  24  0  105  0
3.299933  -7.582512  720  0  111  480  24  0  105  0
3.299933  -7.582518  720  0  111  480  24  0  105  0
3.299933  -7.582852  720  0  111  480  24  0  105  0
3.299933  -7.582855  720  0  111  480  24  0  105  0
3.299933  -7.583112  720  0  111  480  24  0  105  0
3.299933  -7.583115  720  0  111  480  24  0  105  0
3.299933  -7.583289  720  0  111  480  24  0  105  0
3.299933  -7.583291  720  0  111  480  24  0  105  0
3.299933  -7.583459  720  0  111  480  24  0  105  0
3.299933  -7.583464  720  0  111  480  24  0  105  0
3.299933  -7.583616  720  0  111  480  24  0  105  0
3.299933  -7.583634  720  0  111  480  24  0  105  0
3.299933  -7.583769  720  0  111  480  24  0  105  0
3.299933  -7.583772  720  0  111  480  24  0  105  0
3.299933  -7.583883  720  0  111  480  24  0  105  0
3.299933  -7.583888  720  0  111  480  24  0  105  0
3.299933  -7.583996  720  0  111  480  24  0  105  0
3.299933  -7.584002  720  0  111  480  24  0  105  0
3.299933  -7.584102  720  0  111  480  24  0  105  0
3.299933  -7.584108  720  0  111  480  24  0  105  0
3.299933  -7.584195  720  0  111  480  24  0  105  0
3.299933  -7.584198  720  0  111  480  24  0  105  0
3.299933  -7.584277  720  0  111  480  24  0  105  0
3.299933  -7.584279  720  0  111  480  24  0  105  0
3.299933  -7.584353  720  0  111  480  24  0  105  0
3.299933  -7.584355  720  0  111  480  24  0  105  0
3.299933  -7.584426  720  0  111  480  24  0  105  0
3.299933  -7.584427  720  0  111  480  24  0  105  0
3.299933  -7.584495  720  0  111  480  24  0  105  0
3.299933  -7.584497  720  0  111  480  24  0  105  0
3.299933  -7.584556  720  0  111  480  24  0  105  0
3.299933  -7.584557  720  0  111  480  24  0  105  0
3.299933  -7.584612  720  0  111  480  24  0  105  0
3.299933  -7.584613  720  0  111  480  24  0  105  0
3.299933  -7.584666  720  0  111  480  24  0  105  0
3.299933  -7.584668  720  0  111  480  24  0  105  0
3.299933  -7.584714  720  0  111  480  24  0  105  0
3.299933  -7.584715  720  0  111  480  24  0  105  0
3.299933  -7.584754  720  0  111  480  24  0  105  0
3.299933  -7.584754  720  0  111  480  24  0  105  0
3.299933  -7.584794  720  0  111  480  24  0  105  0
3.299933  -7.584797  720  0  111  480  24  0  105  0
3.299933  -7.584833  720  0  111  480  24  0  105  0
3.299933  -7.584836  720  0  111  480  24  0  105  0
3.299933  -7.584870  720  0  111  480  24  0  105  0
3.299933  -7.584872  720  0  111  480  24  0  105  0
