arm,refine_sigma,target_de,achieved_de,epa_mace,ok,dmin,natoms,fmace_rms,file
g2_min1,0.001,0.026,0.024453549533202334,-6.3708083653355025,1,1.6894871464417267,360,0.5926816236412036,out/g2_min1/dE0.026/r0/GeO_Ge120O240_d3p65_En6p39_20260816n215526_final.vasp
g2_min1,0.001,0.026,0.03141950285000661,-6.363842412018698,1,1.654903248345937,360,0.6323382095501475,out/g2_min1/dE0.026/r1/GeO_Ge120O240_d3p65_En6p39_20260816n215418_final.vasp
g2_min1,0.001,0.028,0.020986098453692925,-6.374275816415012,1,1.6156590834109466,360,0.5741395672022815,out/g2_min1/dE0.028/r0/GeO_Ge120O240_d3p65_En6p39_20260816n215419_final.vasp
g2_min1,0.001,0.028,0.01757029540085142,-6.3776916194678535,1,1.6938634720056605,360,0.5560099317726516,out/g2_min1/dE0.028/r1/GeO_Ge120O240_d3p65_En6p39_20260816n215653_final.vasp
g2_min1,0.001,0.03,0.015300870746468576,-6.379961044122236,1,1.6801159939779748,360,0.5986276649267839,out/g2_min1/dE0.030/r0/GeO_Ge120O240_d3p65_En6p38_20260816n215543_final.vasp
g2_min1,0.001,0.03,0.024005376544726786,-6.371256538323978,1,1.6764663816307734,360,0.6147331253663718,out/g2_min1/dE0.030/r1/GeO_Ge120O240_d3p65_En6p38_20260816n215544_final.vasp
g2_min1,0.001,0.032,0.01711970010758357,-6.378142214761121,1,1.6638691976087818,360,0.636965018313916,out/g2_min1/dE0.032/r0/GeO_Ge120O240_d3p65_En6p38_20260816n215819_final.vasp
g2_min1,0.001,0.032,0.02910981445540628,-6.366152100413299,1,1.6650746225996662,360,0.6266718349427577,out/g2_min1/dE0.032/r1/GeO_Ge120O240_d3p65_En6p38_20260816n215708_final.vasp
g2_min1,0.001,0.034,0.0277914579312748,-6.36747045693743,1,1.68791734372508,360,0.6183592790618581,out/g2_min1/dE0.034/r0/GeO_Ge120O240_d3p65_En6p38_20260816n215710_final.vasp
g2_min1,0.001,0.034,0.017905341297102417,-6.3773565735716025,1,1.6726230578964227,360,0.6298035939707964,out/g2_min1/dE0.034/r1/GeO_Ge120O240_d3p65_En6p38_20260816n215945_final.vasp
g2_min1,0.001,0.036,0.032650189245542194,-6.362611725623163,1,1.6681501067634632,360,0.6491571332052857,out/g2_min1/dE0.036/r0/GeO_Ge120O240_d3p65_En6p38_20260816n215834_final.vasp
