system,chemistry,kind,label,n_frames,natoms,rho_gcc,in_lite_corpus,figure,dmin_min,dmin_mean,dmin_gate_pass,rpeak_Ge-Ge,gpeak_Ge-Ge,fwhm_Ge-Ge,rpeak_Ge-O,gpeak_Ge-O,fwhm_Ge-O,rpeak_O-O,gpeak_O-O,fwhm_O-O,cnmean_Ge,cn4_Ge,cn6_Ge,cn7_Ge,cnmean_O,cn4_O,cn6_O,cn7_O,source,note,rpeak_Ti-Ti,gpeak_Ti-Ti,fwhm_Ti-Ti,rpeak_Ti-Ge,gpeak_Ti-Ge,fwhm_Ti-Ge,rpeak_Ti-O,gpeak_Ti-O,fwhm_Ti-O,cnmean_Ti,cn4_Ti,cn6_Ti,cn7_Ti,rpeak_Hf-Hf,gpeak_Hf-Hf,fwhm_Hf-Hf,rpeak_Hf-O,gpeak_Hf-O,fwhm_Hf-O,cnmean_Hf,cn4_Hf,cn6_Hf,cn7_Hf
TiO2,TiO2,DFT,TiO2_relax13_0K,10,240,2.68,True,aux,1.7204,1.7213,True,,,,,,,2.93,4.47,0.3214,,,,,2.3375,0.0125,0.0,0.0,<dft-archive>/07_trainingset2/TiO/relax/s10_relax13_r13_TiO_sb18_r16k1x0/vasprun.xml,"240-atom Ti80O160 DFT relaxation at rho 2.680, epa -8.8548 (the campaign a-TiO2 AMF); last 10 ionic steps; IS in the lite corpus",3.53,4.0077,0.3513,,,,1.83,15.7808,0.1131,4.675,0.45,0.125,0.0,,,,,,,,,,
HfO2,HfO2,generated,HfO2_r0,1,300,9.4,,,1.9099,1.9099,True,,,,,,,2.69,2.7167,0.7051,,,,,3.28,0.29,0.0,0.0,generated,,,,,,,,,,,,,,,3.33,3.5174,0.3917,2.09,9.5282,0.1849,6.56,0.0,0.42,0.48
HfO2,HfO2,generated,HfO2_r1,1,300,9.4,,,1.8853,1.8853,True,,,,,,,2.59,2.9856,0.6291,,,,,3.31,0.315,0.0,0.0,generated,,,,,,,,,,,,,,,3.35,3.591,0.557,2.11,8.9198,0.2098,6.62,0.0,0.39,0.51
HfO2,HfO2,generated,HfO2_r2,1,300,9.4,,,1.9104,1.9104,True,,,,,,,2.67,2.7507,0.5828,,,,,3.34,0.34,0.0,0.0,generated,,,,,,,,,,,,,,,3.35,3.5897,0.3806,2.13,9.1941,0.1972,6.68,0.0,0.38,0.53
HfO2,HfO2,DFT,HfO2_relax11_0K,10,240,9.4,False,main,1.9063,1.9097,True,,,,,,,2.61,2.6835,0.6157,,,,,3.335,0.3412,0.0,0.0,<dft-archive>/07_trainingset2/HfO/relax/s10_relax11_r11_HfO_sb17_r11k0x0/vasprun.xml,"240-atom Hf80O160 DFT relaxation at rho 9.400, epa -10.9348 (the ENERGY_REFERENCES relax11 a-HfO2 value); last 10 ionic steps; NOT in the lite corpus. Same model-seeded-basin caveat as TiO2",,,,,,,,,,,,,,3.45,4.0333,0.3399,2.09,9.5203,0.1958,6.67,0.0,0.3425,0.6075
HfO2m,HfO2,generated,HfO2m_r0,1,300,8.897,,,1.9071,1.9071,True,,,,,,,2.71,2.3846,0.7501,,,,,3.175,0.23,0.0,0.0,generated,,,,,,,,,,,,,,,3.37,2.9165,0.9326,2.09,10.2593,0.1775,6.35,0.0,0.6,0.3
HfO2m,HfO2,generated,HfO2m_r1,1,300,8.897,,,1.9038,1.9038,True,,,,,,,2.85,2.6342,0.6908,,,,,3.145,0.205,0.0,0.0,generated,,,,,,,,,,,,,,,3.75,3.0283,0.3785,2.11,8.5031,0.2319,6.29,0.0,0.6,0.33
HfO2m,HfO2,generated,HfO2m_r2,1,300,8.897,,,1.9059,1.9059,True,,,,,,,2.65,2.6699,0.7392,,,,,3.165,0.195,0.0,0.0,generated,,,,,,,,,,,,,,,3.77,2.9484,0.814,2.09,10.0965,0.1811,6.33,0.0,0.58,0.33
HfO2m,HfO2,DFT,HfO2_inherent_0K,20,96,8.9,False,aux,1.8611,1.8627,True,,,,,,,2.63,3.7202,0.3436,,,,,3.3805,0.4586,0.0,0.0,<dft-archive>/07_trainingset2/HfO/relax/s00_16_HfO_03_best_aHfO2_03_md_relax_s01/vasprun.xml;<dft-archive>/07_trainingset2/HfO/relax/s00_16_HfO_03_best_aHfO2_03_md_relax_s02/vasprun.xml;<dft-archive>/07_trainingset2/HfO/relax/s00_16_HfO_03_best_aHfO2_03_md_relax_s04/vasprun.xml;<dft-archive>/07_trainingset2/HfO/relax/s00_16_HfO_03_best_aHfO2_03_md_relax_s05/vasprun.xml,"four independent DFT relaxations (IBRION=2) of snapshots of the same 96-atom 300 K a-HfO2 Langevin MD, rho 8.900, last 5 ionic steps of each = 20 frames; these are the 0 K inherent structures OF the finite-T reference, at the same density, and NONE of s01/s02/s04/s05 is in the lite corpus",,,,,,,,,,,,,,3.45,4.993,0.2399,2.09,10.3651,0.1727,6.7609,0.0,0.2922,0.4062
HfO2m,HfO2,DFT,HfO2_MD_300K,1000,96,8.9,True,finiteT,1.7935,1.8617,True,,,,,,,2.63,2.8058,0.6297,,,,,3.3782,0.4446,0.0064,0.0,<dft-archive>/07_trainingset2/HfO/md_nvt/s00_16_HfO_03_best_aHfO2_02_md_300K/vasprun.xml,"IBRION=0 MDALGO=3 Langevin, TEBEG=TEEND=300 K, POTIM 1 fs, NSW 3000 (3 ps): genuine isothermal 300 K. Hf32O64 (96 atoms), rho 8.897, every 3rd frame = 1000 frames",,,,,,,,,,,,,,3.41,3.9844,0.5007,2.09,7.839,0.2517,6.7564,0.0014,0.3311,0.4831
